Name,Source,Completion_Type,Category
Become an Astronaut,Base,Checkmark,Lifetime Wishes
Become a Creature-Robot Cross Breeder,Base,Checkmark,Lifetime Wishes
Become a Master Thief,Base,Checkmark,Lifetime Wishes
Become a Superstar Athlete,Base,Checkmark,Lifetime Wishes
Celebrated Five-Star Chef,Base,Checkmark,Lifetime Wishes
CEO of a Mega-Corporation,Base,Checkmark,Lifetime Wishes
Chess Legend,Base,Checkmark,Lifetime Wishes
Forensic Specialist: Dynamic DNA Profiler,Base,Checkmark,Lifetime Wishes
Gold Digger,Base,Checkmark,Lifetime Wishes
"Golden Tongue, Golden Fingers",Base,Checkmark,Lifetime Wishes
Heartbreaker,Base,Checkmark,Lifetime Wishes
Hit Movie Composer,Base,Checkmark,Lifetime Wishes
Illustrious Author,Base,Checkmark,Lifetime Wishes
International Super Spy,Base,Checkmark,Lifetime Wishes
Jack of All Trades,Base,Checkmark,Lifetime Wishes
Leader of the Free World,Base,Checkmark,Lifetime Wishes
Living in the Lap of Luxury,Base,Checkmark,Lifetime Wishes
Master of the Arts,Base,Checkmark,Lifetime Wishes
"Perfect Mind, Perfect Body",Base,Checkmark,Lifetime Wishes
Presenting the Perfect Private Aquarium,Base,Checkmark,Lifetime Wishes
Professional Author,Base,Checkmark,Lifetime Wishes
Renaissance Sim,Base,Checkmark,Lifetime Wishes
Rock Star,Base,Checkmark,Lifetime Wishes
Star News Anchor,Base,Checkmark,Lifetime Wishes
Super Popular,Base,Checkmark,Lifetime Wishes
Surrounded by Family,Base,Checkmark,Lifetime Wishes
Swimming in Cash,Base,Checkmark,Lifetime Wishes
The Culinary Librarian,Base,Checkmark,Lifetime Wishes
The Emperor of Evil,Base,Checkmark,Lifetime Wishes
The Perfect Garden,Base,Checkmark,Lifetime Wishes
Bottomless Nectar Cellar,World Adventures,Checkmark,Lifetime Wishes
Great Explorer,World Adventures,Checkmark,Lifetime Wishes
Martial Arts Master,World Adventures,Checkmark,Lifetime Wishes
Physical Perfection,World Adventures,Checkmark,Lifetime Wishes
Private Museum,World Adventures,Checkmark,Lifetime Wishes
Season Traveler,World Adventures,Checkmark,Lifetime Wishes
Visionary,World Adventures,Checkmark,Lifetime Wishes
World-Class Gallery,World Adventures,Checkmark,Lifetime Wishes
Descendant of Da Vinci,Ambitions,Checkmark,Lifetime Wishes
Fashion Phenomenon,Ambitions,Checkmark,Lifetime Wishes
Firefighter Super Hero,Ambitions,Checkmark,Lifetime Wishes
Home Design Hotshot,Ambitions,Checkmark,Lifetime Wishes
Monster Maker,Ambitions,Checkmark,Lifetime Wishes
Paranormal Profiteer,Ambitions,Checkmark,Lifetime Wishes
Pervasive Private Eye,Ambitions,Checkmark,Lifetime Wishes
Possession is Nine Tenths of the Law,Ambitions,Checkmark,Lifetime Wishes
Distinguished Director,Late Night,Checkmark,Lifetime Wishes
Lifestyle of the Rich and Famous,Late Night,Checkmark,Lifetime Wishes
Master Mixologist,Late Night,Checkmark,Lifetime Wishes
Master Romancer,Late Night,Checkmark,Lifetime Wishes
One Sim Band,Late Night,Checkmark,Lifetime Wishes
Superstar Actor,Late Night,Checkmark,Lifetime Wishes
The Animal Rescuer,Pets,Checkmark,Lifetime Wishes
The Ark Builder,Pets,Checkmark,Lifetime Wishes
The Canine Companion,Pets,Checkmark,Lifetime Wishes
The Cat Herder,Pets,Checkmark,Lifetime Wishes
The Fairy Tale Finder,Pets,Checkmark,Lifetime Wishes
The Jockey,Pets,Checkmark,Lifetime Wishes
The Zoologist,Pets,Checkmark,Lifetime Wishes
Master Acrobat,Showtime,Checkmark,Lifetime Wishes
Master Magician,Showtime,Checkmark,Lifetime Wishes
Vocal Legend,Showtime,Checkmark,Lifetime Wishes
Alchemy Artisan,Supernatural,Checkmark,Lifetime Wishes
Celebrity Psychic,Supernatural,Checkmark,Lifetime Wishes
Greener Gardens,Supernatural,Checkmark,Lifetime Wishes
Leader of the Pack,Supernatural,Checkmark,Lifetime Wishes
Magic Makeover,Supernatural,Checkmark,Lifetime Wishes
Master of Mysticism,Supernatural,Checkmark,Lifetime Wishes
Mystic Healer,Supernatural,Checkmark,Lifetime Wishes
Turn the Town,Supernatural,Checkmark,Lifetime Wishes
Zombie Master,Supernatural,Checkmark,Lifetime Wishes
Blog Artist,University Life,Checkmark,Lifetime Wishes
Major Master,University Life,Checkmark,Lifetime Wishes
Perfect Student,University Life,Checkmark,Lifetime Wishes
Reach Max Influence with All Social Groups,University Life,Checkmark,Lifetime Wishes
Scientific Specialist,University Life,Checkmark,Lifetime Wishes
Street Credible,University Life,Checkmark,Lifetime Wishes
Deep Sea Diver,Island Paradise,Checkmark,Lifetime Wishes
Grand Explorer,Island Paradise,Checkmark,Lifetime Wishes
Resort Empire,Island Paradise,Checkmark,Lifetime Wishes
Seaside Savior,Island Paradise,Checkmark,Lifetime Wishes
High Tech Collector,Into the Future,Checkmark,Lifetime Wishes
More than a Machine,Into the Future,Checkmark,Lifetime Wishes
Made the Most of my Time,Into the Future,Checkmark,Lifetime Wishes
